date,volume_real,volume_projection,volume_lower,volume_upper
2025-11-01,,"5,955.83","3,199.66","8,827.33"
2025-12-01,,"6,200.81","3,402.57","9,135.21"
2026-01-01,,"6,459.37","3,549.87","9,456.67"
2026-02-01,,"6,662.23","3,321.31","9,722.43"
2026-03-01,,"6,497.54","2,917.28","9,620.64"
2026-04-01,,"6,183.85","2,537.36","9,369.85"
2026-05-01,,"5,876.50","2,254.81","9,125.40"
2026-06-01,,"5,654.34","1,990.11","8,966.14"
2026-07-01,,"5,455.14","1,850.93","8,829.84"
2026-08-01,,"5,382.12","1,762.12","8,819.72"
2026-09-01,,"5,357.09","1,765.65","8,857.59"
2026-10-01,,"5,425.10","1,875.27","8,988.50"
2026-11-01,,"5,609.29","2,093.18","9,235.59"
2026-12-01,,"5,878.90","2,289.10","9,568.10"
2027-01-01,,"6,131.56","2,414.21","9,883.66"
2027-02-01,,"6,312.01","2,197.89","10,127.01"
2027-03-01,,"6,149.69","1,804.39","10,027.59"
2027-04-01,,"5,849.45","1,446.62","9,790.25"
2027-05-01,,"5,563.32","1,165.25","9,567.02"
2027-06-01,,"5,341.98",904.96,"9,408.58"
2027-07-01,,"5,139.36",764.06,"9,268.86"
2027-08-01,,"5,060.30",669.90,"9,252.70"
2027-09-01,,"5,022.56",672.33,"9,277.86"
2027-10-01,,"5,080.23",812.78,"9,398.43"
2027-11-01,,"5,284.18","1,049.67","9,665.28"
2027-12-01,,"5,577.86","1,247.17","10,021.86"
2028-01-01,,"5,823.77","1,363.31","10,330.67"
2028-02-01,,"5,981.65","1,141.47","10,551.45"
2028-03-01,,"5,819.10",739.45,"10,451.80"
2028-04-01,,"5,544.52",340.90,"10,240.12"
2028-05-01,,"5,196.83",67.00,"9,955.33"
2028-06-01,,"4,974.80",-178.66,"9,796.20"
2028-07-01,,"4,784.94",-284.76,"9,669.24"
2028-08-01,,"4,727.09",-335.73,"9,674.29"
2028-09-01,,"4,731.59",-299.90,"9,741.69"
2028-10-01,,"4,825.99",-206.85,"9,898.99"
2028-11-01,,"4,970.63",-22.55,"10,106.53"
2028-12-01,,"5,195.70",202.50,"10,394.50"
2029-01-01,,"5,463.30",385.48,"10,725.00"
2029-02-01,,"5,692.28",172.12,"11,016.88"
2029-03-01,,"5,530.98",-214.95,"10,918.48"
2029-04-01,,"5,226.35",-584.96,"10,676.75"
2029-05-01,,"4,900.07",-850.75,"10,413.37"
2029-06-01,,"4,679.83","-1,093.00","10,256.03"
2029-07-01,,"4,487.22","-1,198.89","10,126.32"
2029-08-01,,"4,423.86","-1,262.40","10,125.86"
2029-09-01,,"4,415.58","-1,222.46","10,180.48"
2029-10-01,,"4,498.42","-1,109.35","10,326.22"
2029-11-01,,"4,662.41",-900.65,"10,553.11"
2029-12-01,,"4,912.64",-682.06,"10,866.24"
2030-01-01,,"5,175.24",-525.06,"11,191.74"
2030-02-01,,"5,382.06",-726.61,"11,461.46"
2030-03-01,,"5,222.61","-1,108.85","11,364.91"
2030-04-01,,"4,915.10","-1,448.95","11,120.30"
2030-05-01,,"4,610.24","-1,706.05","10,878.34"
2030-06-01,,"4,391.35","-1,941.24","10,722.35"
2030-07-01,,"4,195.73","-2,044.74","10,589.63"
2030-08-01,,"4,126.67","-2,108.82","10,583.47"
2030-09-01,,"4,105.73","-2,070.19","10,625.43"
2030-10-01,,"4,177.71","-1,940.37","10,760.31"
2030-11-01,,"4,362.03","-1,707.70","11,007.53"
2030-12-01,,"4,636.89","-1,481.24","11,345.29"
