year,cpi,unemploy,gdp,oilprice,population,Cement,housing,gasppi,workers,lime,silica
1990,5.39795643990322,5.616666666666666,5963144000000,24.492916666666666,250180.91666666666,67043,1308,80.35833333333332,63190,15832,25769
1991,4.23496396453853,6.85,6158129000000,21.48125,253530.16666666666,63003,1090.8,79.08333333333333,57404,15667,23224
1992,3.0288196781497,7.491666666666665,6520327000000,20.561416666666666,256921.66666666666,60637,1157.5,80.63333333333333,55263,16199,25915
1993,2.95165696638554,6.908333333333333,6858559000000,18.458166666666667,260281.58333333334,64270,1192.7,84.75,57349,16932,26220
1994,2.6074415921546,6.1,7287236000000,17.185833333333335,263454.6666666667,75216,1346.9,78.84166666666665,61133,17410,27300
1995,2.80541968853655,5.591666666666667,7639749000000,18.427500000000002,266587.75,73540,1312.6,66.58333333333333,63317,18580,28200
1996,2.9312041999344,5.408333333333333,8073122000000,22.154166666666665,269714.6666666667,76951,1412.9,91.175,66461,19230,27800
1997,2.33768993730741,4.941666666666666,8577554457000,20.599166666666665,272958.1666666667,80589,1400.5,101.66666666666664,69755,19700,28500
1998,1.55227909874362,4.5,9062818202000,14.388333333333334,276154.25,83092,1474.2,83.89166666666665,73768,20090,28244
1999,2.18802719697358,4.216666666666667,9631174489000,19.251666666666665,279327.5833333333,84383,1604.9,91.225,78537,19710,29111
2000,3.37685727149935,3.9666666666666663,10250947997000,30.298333333333332,282398.4166666667,86273,1573.7,155.49166666666665,81455,19520,28647
2001,2.82617111885402,4.741666666666666,10581929774000,25.924166666666665,285225.1666666667,88193,1570.8,171.825,81918,18840,28072
2002,1.58603162650603,5.783333333333333,10929112955000,26.0975,287954.5833333333,86912,1648.4,122.51666666666665,80584,17840,27550
2003,2.27009497336113,5.991666666666666,11456442041000,31.14,290626.25,91149,1678.7,214.475,80828,19160,27940
2004,2.67723669309173,5.541666666666666,12217193198000,41.43833333333333,293262.3333333333,94843,1841.9,245.9,83678,19920,30190
2005,3.39274684549547,5.083333333333333,13039199193000,56.465833333333336,295992.9166666667,96249,1931.4,335.3583333333333,88001,20090,31311
2006,3.22594410070407,4.6083333333333325,13815586948000,66.10333333333334,298817.6666666667,93491,1979.4,280.3583333333333,92275,21020,29755
2007,2.85267248150136,4.616666666666666,14474226905000,72.3625,301696.1666666667,92058,1502.8,273.7833333333333,91528,20230,30611
2008,3.83910029665101,5.8,14769857911000,99.5675,304543.0833333333,84512,1119.7,343.975,85948,19870,30755
2009,-0.35554626629975,9.283333333333331,14478064934000,61.693333333333335,307240.0833333333,64103,794.4,159.9833333333333,72208,15760,27595
2010,1.64004344238989,9.60833333333333,15048964444000,79.4275,309838.8333333333,64358,651.7,185.8416666666666,66220,18280,32432
2011,3.15684156862206,8.933333333333334,15599728123000,95.07666666666667,312295.25,66613,584.9,171.4333333333333,66359,19130,44116
2012,2.06933726526059,8.075,16253972230000,94.20083333333334,314725.4166666667,72528,649.2,117.925,67746,18840,50906
2013,1.46483265562714,7.3583333333333325,16843190993000,97.93583333333333,317099,75625,764.4,153.8833333333333,70285,19190,62261
2014,1.62222297740821,6.158333333333333,17550680174000,93.25833333333334,319600.4166666667,80995,883.8,182.4,73810,19500,110245
2015,0.118627135552435,5.275,18206020741000,48.68833333333333,322112.6666666667,81927,968.2,105.38333333333331,77520,18280,102289
2016,1.26158320570537,4.875,18695110842000,43.14416666666666,324609.3333333333,82655,1059.7,96.2333333333333,80720,17330,79981
2017,2.13011000365963,4.3583333333333325,19477336549000,50.884166666666665,326859.6666666667,84257,1152.9,118.675,83605,17600,104366
2018,2.44258329692818,3.8916666666666666,20533057312000,64.93833333333333,328794.5,85290,1184.9,112.125,87460,18120,126392
2019,1.81221007526015,3.6833333333333327,21380976119000,56.98416666666667,330512.5833333333,87298,1255.1,85.51666666666665,89933,16880,108389
2020,1.23358439630637,8.091666666666665,21060473613000,39.2275,331787.4166666667,88782,1286.9,67.49166666666666,87091,15870,76217
2021,4.69785886363739,5.366666666666666,23315080560000,67.9875,332351.1666666667,90811,1341,149.958,89235,16820,74600
